Employee_Number,Stag,Turnover,Gender,Age,Industry,Profession,Traffic,Traffic_Source,Coach,Head_gender,Greywage,Way,Extraversion,Independ,Selfcontrol,Anxiety,Novator
1,7,Yes,Male,35,Banks,HR,rabrecNErab,Employer_ByRecomendation,no,Female,white,bus,6,4,6,7,8
2,23,Yes,Male,33,Banks,HR,empjs,Employer_JobSite,no,Male,white,bus,6,4,6,7,8
3,16,Yes,Female,35,PowerGeneration,HR,rabrecNErab,Employer_ByRecomendation,no,Male,white,bus,6,6,3,5,8
4,16,Yes,Female,35,PowerGeneration,HR,rabrecNErab,Employer_ByRecomendation,no,Male,white,bus,5,8,5,3,7
5,8,Yes,Male,32,Retail,Commercial,youjs,Person_JobSite,yes,Female,white,bus,3,4,8,7,4
6,9,Yes,Female,42,Manufacture,HR,empjs,Employer_JobSite,yes,Male,white,bus,6,6,4,6,7
7,9,Yes,Female,42,Manufacture,HR,empjs,Employer_JobSite,yes,Male,white,bus,6,6,4,6,7
8,120,Yes,Female,28,Retail,HR,referal,Person_RecReferral,no,Male,white,bus,4,6,8,4,4
9,9,Yes,Female,29,Banks,HR,empjs,Employer_JobSite,no,Female,white,bus,9,7,3,4,8
10,4,Yes,Female,30,Consult,Marketing,youjs,Person_JobSite,yes,Male,white,bus,5,6,3,8,8
11,67,Yes,Female,40,Manufacture,HR,rabrecNErab,Employer_ByRecomendation,no,Male,white,car,9,4,2,7,7
12,21,Yes,Male,23,Banks,HR,referal,Person_RecReferral,yes,Male,white,bus,3,7,5,5,8
13,21,Yes,Female,22,Consult,HR,rabrecNErab,Employer_ByRecomendation,my head,Female,white,foot,5,8,5,3,6
14,9,Yes,Female,24,State,Other,advert,Person_Advert,yes,Female,white,foot,7,6,4,7,9
15,34,Yes,Female,25,Other,HR,KA,RecAgency,my head,Female,white,foot,9,1,4,6,7
16,16,Yes,Female,28,Building,HR,youjs,Person_JobSite,no,Male,white,car,9,6,5,5,5
17,15,Yes,Female,30,Banks,HR,rabrecNErab,Employer_ByRecomendation,no,Male,white,bus,5,6,3,5,7
18,26,Yes,Female,27,IT,Sales,referal,Person_RecReferral,yes,Male,white,bus,5,7,3,6,8
19,15,Yes,Female,36,Banks,HR,referal,Person_RecReferral,yes,Female,grey,bus,5,7,3,3,8
20,45,Yes,Female,29,Other,HR,referal,Person_RecReferral,no,Male,white,bus,8,6,6,8,6
21,45,Yes,Female,29,Other,HR,referal,Person_RecReferral,no,Male,white,bus,4,3,6,9,8
22,37,Yes,Female,48,State,BusinessDevelopment,empjs,Employer_JobSite,no,Female,white,bus,5,6,5,6,7
23,22,Yes,Female,29,Banks,Finanсe,KA,RecAgency,no,Female,white,car,8,5,6,7,6
24,59,Yes,Female,25,Banks,HR,recNErab,Person_ByRecomendation,yes,Female,white,bus,5,5,7,6,5
25,59,Yes,Female,25,Banks,HR,recNErab,Person_ByRecomendation,yes,Female,white,bus,5,4,9,6,2
26,12,Yes,Female,36,Banks,Finanсe,rabrecNErab,Employer_ByRecomendation,no,Male,white,car,8,7,3,3,8
27,24,Yes,Female,36,Retail,HR,rabrecNErab,Employer_ByRecomendation,my head,Male,white,bus,8,3,6,7,5
28,12,Yes,Male,29,Banks,HR,rabrecNErab,Employer_ByRecomendation,no,Female,white,car,4,2,10,8,4
29,3,Yes,Female,35, HoReCa,HR,empjs,Employer_JobSite,my head,Female,white,bus,3,8,7,4,8
30,3,Yes,Female,35, HoReCa,HR,empjs,Employer_JobSite,my head,Female,white,bus,1,8,8,5,6
31,15,Yes,Female,21,Telecom,Sales,rabrecNErab,Employer_ByRecomendation,yes,Female,white,bus,9,4,5,6,6
32,17,Yes,Male,35,Other,Sales,youjs,Person_JobSite,no,Male,white,car,5,3,4,9,4
33,28,Yes,Female,25,Other,Other,referal,Person_RecReferral,my head,Female,white,bus,4,7,6,7,8
34,61,Yes,Female,30,Retail,HR,youjs,Person_JobSite,no,Male,white,bus,7,6,4,3,7
